i,ego s,ego d,s1,d1,s2,d2,s3,d3,s4,d4,s5,d5,s6,d6,s7,d7,s8,d8,s9,d9,s10,d10,s11,d11,s12,d12
0,3594.62,9.61245,3651.36,6.02588,3542.91,5.91833,3691.46,1.86645,3456.68,2.0306,3616.09,6.06343,3742.33,2.15964,3516.83,5.75758,3677.21,5.96035,3520.38,9.6591,3388.52,9.89818,3486.29,2.17073,3569.19,1.99608,
1,3598.48,9.74583,3654.2,6.02588,3545.67,5.91833,3694.1,1.86645,3458.23,2.0306,3618.81,6.06343,3745.05,2.15964,3519.49,5.75758,3679.8,5.96035,3524.06,9.6591,3391.22,9.89818,3489.51,2.17073,3572.38,1.99608,
2,3602.38,9.87762,3657.05,6.02588,3548.43,5.91833,3696.73,1.86645,3459.78,2.0306,3621.53,6.06343,3747.78,2.15964,3522.16,5.75758,3682.39,5.96035,3527.75,9.6591,3393.93,9.89818,3492.73,2.17073,3575.56,1.99608,
3,3606.29,9.99888,3659.89,6.02588,3551.18,5.91833,3699.36,1.86645,3461.33,2.0306,3624.25,6.06343,3750.5,2.15964,3524.82,5.75758,3684.97,5.96035,3531.43,9.6591,3396.63,9.89818,3495.95,2.17073,3578.75,1.99608,
4,3610.21,10.1033,3662.74,6.02588,3553.94,5.91833,3702,1.86645,3462.88,2.0306,3626.97,6.06343,3753.22,2.15964,3527.49,5.75758,3687.56,5.96035,3535.11,9.6591,3399.34,9.89818,3499.17,2.17073,3581.94,1.99608,
5,3614.12,10.1868,3665.58,6.02588,3556.69,5.91833,3704.63,1.86645,3464.42,2.0306,3629.69,6.06343,3755.95,2.15964,3530.15,5.75758,3690.15,5.96035,3538.79,9.6591,3402.04,9.89818,3502.39,2.17073,3585.12,1.99608,
6,3617.99,10.2474,3668.43,6.02588,3559.45,5.91833,3707.27,1.86645,3465.97,2.0306,3632.4,6.06343,3758.67,2.15964,3532.81,5.75758,3692.73,5.96035,3542.48,9.6591,3404.75,9.89818,3505.61,2.17073,3588.31,1.99608,
7,3621.84,10.2848,3671.27,6.02588,3562.2,5.91833,3709.9,1.86645,3467.52,2.0306,3635.12,6.06343,3761.4,2.15964,3535.48,5.75758,3695.32,5.96035,3546.16,9.6591,3407.45,9.89818,3508.83,2.17073,3591.49,1.99608,
8,3625.66,10.3004,3674.12,6.02588,3564.96,5.91833,3712.53,1.86645,3469.07,2.0306,3637.84,6.06343,3764.12,2.15964,3538.14,5.75758,3697.91,5.96035,3549.84,9.6591,3410.16,9.89818,3512.05,2.17073,3594.68,1.99608,
9,3629.45,10.2964,3676.97,6.02588,3567.72,5.91833,3715.17,1.86645,3470.62,2.0306,3640.56,6.06343,3766.84,2.15964,3540.81,5.75758,3700.49,5.96035,3553.53,9.6591,3412.86,9.89818,3515.27,2.17073,3597.86,1.99608,
10,3633.2,10.2762,3679.81,6.02588,3570.47,5.91833,3717.8,1.86645,3472.17,2.0306,3643.28,6.06343,3769.57,2.15964,3543.47,5.75758,3703.08,5.96035,3557.21,9.6591,3415.57,9.89818,3518.49,2.17073,3601.05,1.99608,
11,3636.94,10.2438,3682.66,6.02588,3573.23,5.91833,3720.43,1.86645,3473.72,2.0306,3646,6.06343,3772.29,2.15964,3546.13,5.75758,3705.67,5.96035,3560.89,9.6591,3418.27,9.89818,3521.71,2.17073,3604.24,1.99608,
12,3640.65,10.2035,3685.5,6.02588,3575.98,5.91833,3723.07,1.86645,3475.27,2.0306,3648.71,6.06343,3775.01,2.15964,3548.8,5.75758,3708.25,5.96035,3564.57,9.6591,3420.98,9.89818,3524.93,2.17073,3607.42,1.99608,
13,3644.36,10.1595,3688.35,6.02588,3578.74,5.91833,3725.7,1.86645,3476.82,2.0306,3651.43,6.06343,3777.74,2.15964,3551.46,5.75758,3710.84,5.96035,3568.26,9.6591,3423.68,9.89818,3528.15,2.17073,3610.61,1.99608,
14,3648.06,10.116,3691.19,6.02588,3581.49,5.91833,3728.34,1.86645,3478.37,2.0306,3654.15,6.06343,3780.46,2.15964,3554.13,5.75758,3713.43,5.96035,3571.94,9.6591,3426.39,9.89818,3531.37,2.17073,3613.79,1.99608,
15,3651.77,10.0768,3694.04,6.02588,3584.25,5.91833,3730.97,1.86645,3479.92,2.0306,3656.87,6.06343,3783.19,2.15964,3556.79,5.75758,3716.01,5.96035,3575.62,9.6591,3429.09,9.89818,3534.58,2.17073,3616.98,1.99608,
16,3655.48,10.0445,3696.88,6.02588,3587,5.91833,3733.6,1.86645,3481.47,2.0306,3659.59,6.06343,3785.91,2.15964,3559.45,5.75758,3718.6,5.96035,3579.3,9.6591,3431.8,9.89818,3537.8,2.17073,3620.17,1.99608,
17,3659.21,10.0211,3699.73,6.02588,3589.76,5.91833,3736.24,1.86645,3483.02,2.0306,3662.31,6.06343,3788.63,2.15964,3562.12,5.75758,3721.19,5.96035,3582.99,9.6591,3434.5,9.89818,3541.02,2.17073,3623.35,1.99608,
18,3662.95,10.007,3702.57,6.02588,3592.52,5.91833,3738.87,1.86645,3484.57,2.0306,3665.03,6.06343,3791.36,2.15964,3564.78,5.75758,3723.77,5.96035,3586.67,9.6591,3437.21,9.89818,3544.24,2.17073,3626.54,1.99608,
19,3666.7,10.001,3705.42,6.02588,3595.27,5.91833,3741.5,1.86645,3486.12,2.0306,3667.74,6.06343,3794.08,2.15964,3567.45,5.75758,3726.36,5.96035,3590.35,9.6591,3439.91,9.89818,3547.46,2.17073,3629.72,1.99608,
